estimator,excluded,r,type,excluded_pair
D_inverse_variance_weighted,,-0.7185849307159148,loo2,DE+PT
D_inverse_variance_weighted,,-0.7431967855286982,loo2,DE+SE
D_inverse_variance_weighted,,-0.759859730157606,loo2,DK+ES
D_inverse_variance_weighted,,-0.7519216436954841,loo2,DK+FI
D_inverse_variance_weighted,,-0.7680219042876137,loo2,DK+FR
D_inverse_variance_weighted,,-0.6844641764487528,loo2,DK+GB
D_inverse_variance_weighted,,-0.7732338125406008,loo2,DK+IE
D_inverse_variance_weighted,,-0.8771221415965179,loo2,DK+IT
D_inverse_variance_weighted,,-0.7507264572496035,loo2,DK+NL
D_inverse_variance_weighted,,-0.6793461121208161,loo2,DK+NO
D_inverse_variance_weighted,,-0.7515722151319477,loo2,DK+PT
D_inverse_variance_weighted,,-0.7742154266800223,loo2,DK+SE
D_inverse_variance_weighted,,-0.7453147277159948,loo2,ES+FI
D_inverse_variance_weighted,,-0.7592184470774367,loo2,ES+FR
D_inverse_variance_weighted,,-0.6845605379875963,loo2,ES+GB
D_inverse_variance_weighted,,-0.7633015634360006,loo2,ES+IE
D_inverse_variance_weighted,,-0.8677302072704125,loo2,ES+IT
D_inverse_variance_weighted,,-0.7415096620995159,loo2,ES+NL
D_inverse_variance_weighted,,-0.6705528720793112,loo2,ES+NO
D_inverse_variance_weighted,,-0.7442552631746574,loo2,ES+PT
D_inverse_variance_weighted,,-0.7647796695987451,loo2,ES+SE
D_inverse_variance_weighted,,-0.7528747574755211,loo2,FI+FR
D_inverse_variance_weighted,,-0.6682775563584725,loo2,FI+GB
D_inverse_variance_weighted,,-0.7556812536295807,loo2,FI+IE
D_inverse_variance_weighted,,-0.8643659495700665,loo2,FI+IT
D_inverse_variance_weighted,,-0.7368047905851496,loo2,FI+NL
D_inverse_variance_weighted,,-0.6637447115054524,loo2,FI+NO
D_inverse_variance_weighted,,-0.7359809461589042,loo2,FI+PT
D_inverse_variance_weighted,,-0.7581457740021958,loo2,FI+SE
D_inverse_variance_weighted,,-0.6950181661739339,loo2,FR+GB
D_inverse_variance_weighted,,-0.7716010113114699,loo2,FR+IE
D_inverse_variance_weighted,,-0.8735658380556807,loo2,FR+IT
D_inverse_variance_weighted,,-0.7441488195469261,loo2,FR+NL
D_inverse_variance_weighted,,-0.675222738348666,loo2,FR+NO
D_inverse_variance_weighted,,-0.7517040289717476,loo2,FR+PT
D_inverse_variance_weighted,,-0.7726238468687813,loo2,FR+SE
D_inverse_variance_weighted,,-0.6913067834837969,loo2,GB+IE
D_inverse_variance_weighted,,-0.8401127975125905,loo2,GB+IT
D_inverse_variance_weighted,,-0.671649025257302,loo2,GB+NL
D_inverse_variance_weighted,,-0.5625872245910016,loo2,GB+NO
D_inverse_variance_weighted,,-0.6673139060150446,loo2,GB+PT
D_inverse_variance_weighted,,-0.6996948027378134,loo2,GB+SE
D_inverse_variance_weighted,,-0.8779895983022304,loo2,IE+IT
D_inverse_variance_weighted,,-0.7531037276412427,loo2,IE+NL
D_inverse_variance_weighted,,-0.6852168687308884,loo2,IE+NO
D_inverse_variance_weighted,,-0.7552959461343279,loo2,IE+PT
D_inverse_variance_weighted,,-0.7777440341245119,loo2,IE+SE
D_inverse_variance_weighted,,-0.8796353103719848,loo2,IT+NL
D_inverse_variance_weighted,,-0.8198626424417957,loo2,IT+NO
D_inverse_variance_weighted,,-0.8630974601136715,loo2,IT+PT
D_inverse_variance_weighted,,-0.8777608146782134,loo2,IT+SE
D_inverse_variance_weighted,,-0.6173483345349092,loo2,NL+NO
D_inverse_variance_weighted,,-0.7342494081394729,loo2,NL+PT
D_inverse_variance_weighted,,-0.7513875877475789,loo2,NL+SE
D_inverse_variance_weighted,,-0.6595984986237593,loo2,NO+PT
D_inverse_variance_weighted,,-0.6852255258300175,loo2,NO+SE
D_inverse_variance_weighted,,-0.7573047634648423,loo2,PT+SE
